,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
651,veris,1.4.1,action.hacking,action.hacking.variety.DoS,Denial of service,related-to,T1499.002,Service Exhaustion Flood,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
652,veris,1.4.1,action.hacking,action.hacking.variety.DoS,Denial of service,related-to,T1499.003,Application Exhaustion Flood,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
653,veris,1.4.1,action.hacking,action.hacking.variety.DoS,Denial of service,related-to,T1499.004,Application or System Exploitation,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
654,veris,1.4.1,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1505.006,vSphere Installation Bundles,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
655,veris,1.4.1,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1505.002,Transport Agent,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
656,veris,1.4.1,action.malware,action.malware.variety.Scan network,Enumerating the state of the network,related-to,T1482,Domain Trust Discovery,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
657,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Modify configuration,Modified configuration or services,related-to,T1484,Domain or Tenant Policy Modification,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
658,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Modify configuration,Modified configuration or services,related-to,T1484.001,Group Policy Modification,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
659,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Modify configuration,Modified configuration or services,related-to,T1484.002,Trust Modification,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
660,veris,1.4.1,action.malware,action.malware.variety.Destroy data,Destroy or corrupt stored data,related-to,T1485,Data Destruction,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
